Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
20MICRONS.NS,20 Microns Limited
NPBET.NS,Tata Asset Management Limited - Tata Mutual Fund - Tata Nifty Private Bank Exchange Traded Fund
NRAIL.NS,N R Agarwal Industries Limited
NRBBEARING.NS,NRB Bearings Limited
NSIL.NS,Nalwa Sons Investments Limited
NTL.NS,Neueon Towers Limited
NTPC.NS,NTPC Limited
NUCLEUS.NS,Nucleus Software Exports Limited
NURECA.NS,Nureca Limited
NUVOCO.NS,Nuvoco Vistas Corporation Limited
NXTDIGITAL.NS,Nxtdigital Limited
OAL.NS,Oriental Aromatics Limited
OBEROIRLTY.NS,Oberoi Realty Limited
OCCL.NS,Oriental Carbon & Chemicals Limited
OFSS.NS,Oracle Financial Services Software Limited
OIL.NS,Oil India Limited
OILCOUNTUB.NS,Oil Country Tubular Limited
OISL.NS,OCL Iron and Steel Limited
OLECTRA.NS,Olectra Greentech Limited
OMAXAUTO.NS,Omax Autos Limited
OMAXE.NS,Omaxe Limited
OMINFRAL.NS,Om Infra Limited
OMKARCHEM.NS,Omkar Speciality Chemicals Limited
ONELIFECAP.NS,Onelife Capital Advisors Limited
ONEPOINT.NS,One Point One Solutions Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
ONMOBILE.NS,OnMobile Global Limited
ONWARDTEC.NS,Onward Technologies Limited
OPTIEMUS.NS,Optiemus Infracom Limited
OPTOCIRCUI.NS,Opto Circuits (India) Limited
ORBTEXP.NS,Orbit Exports Limited
ORCHPHARMA.NS,Orchid Pharma Limited
ORICONENT.NS,Oricon Enterprises Limited
ORIENTABRA.NS,Orient Abrasives Limited
ORIENTALTL.NS,Oriental Trimex Limited
ORIENTBELL.NS,Orient Bell Limited
ORIENTCEM.NS,Orient Cement Limited
ORIENTELEC.NS,Orient Electric Limited
ORIENTHOT.NS,Oriental Hotels Limited
ORIENTLTD.NS,Orient Press Limited
ORIENTPPR.NS,Orient Paper & Industries Limited
ORIENTREF.NS,RHI Magnesita India Limited
ORISSAMINE.NS,The Orissa Minerals Development Company Limited
ORTEL.NS,Ortel Communications Limited
ORTINLAB.NS,Ortin Laboratories Limited
OSWALAGRO.NS,Oswal Agro Mills Limited
PAEL.NS,PAE Limited
PAGEIND.NS,Page Industries Limited
PAISALO.NS,Paisalo Digital Limited
PALASHSECU.NS,Palash Securities Limited
PALREDTEC.NS,Palred Technologies Limited
PANACEABIO.NS,Panacea Biotec Limited
PANACHE.NS,Panache Digilife Limited
PANAMAPET.NS,Panama Petrochem Limited
PAR.NS,Par Drugs and Chemicals Limited
PARACABLES.NS,Paramount Communications Limited
PARAGMILK.NS,Parag Milk Foods Limited
PARSVNATH.NS,Parsvnath Developers Limited
PATELENG.NS,Patel Engineering Limited
PATINTLOG.NS,Patel Integrated Logistics Limited
PATSPINLTD.NS,Patspin India Limited
PBAINFRA.NS,PBA Infrastructure Limited
PCJEWELLER.NS,PC Jeweller Limited
PDMJEPAPER.NS,Pudumjee Paper Products Limited
PDPL.NS,Parenteral Drugs (India) Limited
PDSMFL.NS,PDS Multinational Fashions Limited
PEARLPOLY.NS,Pearl Polymers Limited
PEL.NS,Piramal Enterprises Limited
PENIND.NS,Pennar Industries Limited
PENINLAND.NS,Peninsula Land Limited
PERSISTENT.NS,Persistent Systems Limited
PETRONET.NS,Petronet LNG Limited
PFC.NS,Power Finance Corporation Limited
PFIZER.NS,Pfizer Limited
PFOCUS.NS,Prime Focus Limited
PFS.NS,PTC India Financial Services Limited
PGEL.NS,PG Electroplast Limited
PGHH.NS,Procter & Gamble Hygiene and Health Care Limited
PGHL.NS,Procter & Gamble Health Limited
PGIL.NS,Pearl Global Industries Limited
PHILIPCARB.NS,PCBL Limited
PHOENIXLTD.NS,The Phoenix Mills Limited
PIDILITIND.NS,Pidilite Industries Limited
PIIND.NS,PI Industries Limited
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited
PILITA.NS,Pil Italica Lifestyle Limited
PIONDIST.NS,Pioneer Distilleries Limited
PIONEEREMB.NS,Pioneer Embroideries Limited
PITTIENG.NS,Pitti Engineering Limited
PKTEA.NS,The Peria Karamalai Tea and Produce Company Limited
PLASTIBLEN.NS,Plastiblends India Limited
PNB.NS,Punjab National Bank
PNBGILTS.NS,PNB Gilts Ltd.
PNBHOUSING.NS,PNB Housing Finance Limited
PNC.NS,Pritish Nandy Communications Ltd
PNCINFRA.NS,PNC Infratech Limited
PODDARHOUS.NS,Poddar Housing and Development Limited
PODDARMENT.NS,Poddar Pigments Limited
POKARNA.NS,Pokarna Limited
POLYCAB.NS,Polycab India Limited
POLYMED.NS,Poly Medicure Limited
POLYPLEX.NS,Polyplex Corporation Limited
PONNIERODE.NS,Ponni Sugars (Erode) Limited
POONAWALLA.NS,Poonawalla Fincorp Limited
POWERGRID.NS,Power Grid Corporation of India Limited
POWERINDIA.NS,Hitachi Energy India Limited
POWERMECH.NS,Power Mech Projects Limited
PPAP.NS,PPAP Automotive Limited
PPL.NS,Prakash Pipes Limited
PRADIP.NS,Pradip Overseas Limited
PRAENG.NS,Prajay Engineers Syndicate Limited
PRAJIND.NS,Praj Industries Limited
PRAKASH.NS,Prakash Industries Limited
PRAKASHSTL.NS,Prakash Steelage Limited
PRAXIS.NS,Praxis Home Retail Limited
PRAXIS-RE.NS,
PRECAM.NS,Precision Camshafts Limited
PRECOT.NS,Precot Limited
PRECWIRE.NS,Precision Wires India Limited
PREMEXPLN.NS,Premier Explosives Limited
PREMIER.NS,Premier Limited
PREMIERPOL.NS,Premier Polyfilm Ltd.
PRESSMN.NS,Pressman Advertising Limited
PRESTIGE.NS,Prestige Estates Projects Limited
PRICOLLTD.NS,Pricol Limited
PRIMESECU.NS,Prime Securities Limited
PRINCEPIPE.NS,Prince Pipes and Fittings Limited
PRITIKAUTO.NS,Pritika Auto Industries Limited
PRIVISCL.NS,Privi Speciality Chemicals Limited
PROINDIA.NS,Equippp Social Impact Technologies Limited
PROZONINTU.NS,Prozone Intu Properties Limited
PRSMJOHNSN.NS,Prism Johnson Limited
PSB.NS,Punjab & Sind Bank
PSPPROJECT.NS,PSP Projects Limited
PTC.NS,PTC India Limited
PTL.NS,PTL Enterprises Limited
PUNJABCHEM.NS,Punjab Chemicals and Crop Protection Limited
PUNJLLOYD.NS,Punj Lloyd Limited
PURVA.NS,Puravankara Limited
PVP.NS,PVP Ventures Limited
PVR.NS,PVR Limited
QUESS.NS,Quess Corp Limited
QUICKHEAL.NS,Quick Heal Technologies Limited
QUINTEGRA.NS,Quintegra Solutions Limited
RADAAN.NS,Radaan Mediaworks India Limited
RADICO.NS,Radico Khaitan Limited
RADIOCITY.NS,Music Broadcast Limited
RAILTEL.NS,RailTel Corporation of India Limited
RAIN.NS,Rain Industries Limited
RAJESHEXPO.NS,Rajesh Exports Limited
RAJMET.NS,Rajnandini Metal Limited
RAJRATAN.NS,Rajratan Global Wire Limited
RAJRAYON.NS,Raj Rayon Industries Limited
RAJSREESUG.NS,Rajshree Sugars and Chemicals Limited
RAJTV.NS,Raj Television Network Limited
RAJVIR.NS,Rajvir Industries Limited
RALLIS.NS,Rallis India Limited
RAMANEWS.NS,Shree Rama Newsprint Limited
RAMASTEEL.NS,Rama Steel Tubes Limited
RAMCOCEM.NS,The Ramco Cements Limited
RAMCOIND.NS,Ramco Industries Limited
RAMCOSYS.NS,Ramco Systems Limited
RAMKY.NS,Ramky Infrastructure Limited
RAMSARUP.NS,Ramsarup Industries Limited
RANASUG.NS,Rana Sugars Limited
RANEENGINE.NS,Rane Engine Valve Limited
RANEHOLDIN.NS,Rane Holdings Limited
RATNAMANI.NS,Ratnamani Metals & Tubes Limited
RAYMOND.NS,Raymond Limited
RBL.NS,Rane Brake Lining Limited
RBLBANK.NS,RBL Bank Limited
RCF.NS,Rashtriya Chemicals and Fertilizers Limited
RCOM.NS,Reliance Communications Limited
RECLTD.NS,REC Limited
REDINGTON.NS,Redington (India) Limited
REFEX.NS,Refex Industries Limited
REGENCERAM.NS,Regency Ceramics Limited
RELAXO.NS,Relaxo Footwears Limited
RELCAPITAL.NS,Reliance Capital Limited
RELIANCE.NS,Reliance Industries Limited
RELIANCEP1.NS,
RELIGARE.NS,Religare Enterprises Limited
RELINFRA.NS,Reliance Infrastructure Limited
REMSONSIND.NS,Remsons Industries Limited
RENUKA.NS,Shree Renuka Sugars Limited
REPCOHOME.NS,Repco Home Finance Limited
REPL.NS,Rudrabhishek Enterprises Limited
REPRO.NS,Repro India Limited
RESPONIND.NS,Responsive Industries Limited
REVATHI.NS,Revathi Equipment Limited
RGL.NS,Renaissance Global Limited
RHFL.NS,Reliance Home Finance Limited
RHIM.NS,RHI Magnesita India Limited
RICOAUTO.NS,Rico Auto Industries Limited
RIIL.NS,Reliance Industrial Infrastructure Limited
RITES.NS,RITES Limited
RKDL.NS,Ravi Kumar Distilleries Limited
RKEC.NS,RKEC Projects Limited
RKFORGE.NS,Ramkrishna Forgings Limited
RMCL.NS,Radha Madhav Corporation Limited
RML.NS,Rane (Madras) Limited
RNAVAL.NS,Reliance Naval and Engineering Limited
ROHITFERRO.NS,Rohit Ferro-Tech Limited
ROHLTD.NS,Royal Orchid Hotels Limited
ROLEXRINGS.NS,Rolex Rings Limited
ROLLT.NS,Rollatainers Limited
ROLTA.NS,Rolta India Limited
ROML.NS,Raj Oil Mills Limited
ROSSARI.NS,Rossari Biotech Limited
ROSSELLIND.NS,Rossell India Limited
ROUTE.NS,Route Mobile Limited
RPGLIFE.NS,RPG Life Sciences Limited
RPOWER.NS,Reliance Power Limited
RPPINFRA.NS,R.P.P. Infra Projects Limited
RPSGVENT.NS,RPSG Ventures Limited
RSSOFTWARE.NS,R S Software (India) Limited
RSWM.NS,RSWM Limited
RSYSTEMS.NS,R Systems International Limited
RTNINDIA.NS,RattanIndia Enterprises Limited
RTNPOWER.NS,RattanIndia Power Limited
RUBYMILLS.NS,The Ruby Mills Limited
RUCHI.NS,Ruchi Soya Industries Limited
RUCHINFRA.NS,Ruchi Infrastructure Limited
RUCHIRA.NS,Ruchira Papers Limited
RUPA.NS,Rupa & Company Limited
RUSHIL.NS,Rushil D?�cor Limited
RVHL.NS,Ravinder Heights Limited
RVNL.NS,Rail Vikas Nigam Limited
S&SPOWER.NS,S&S Power Switchgear Limited
SABEVENTS.NS,SAB Events & Governance Now Media Limited
SABTN.NS,Sri Adhikari Brothers Television Network Limited
SADBHAV.NS,Sadbhav Engineering Limited
SADBHIN.NS,Sadbhav Infrastructure Project Limited
SAFARI.NS,Safari Industries (India) Limited
SAGARDEEP.NS,Sagardeep Alloys Limited
SAGCEM.NS,Sagar Cements Limited
SAIL.NS,Steel Authority of India Limited
SAKAR.NS,Sakar Healthcare Limited
SAKHTISUG.NS,Sakthi Sugars Limited
SAKSOFT.NS,Saksoft Limited
SAKUMA.NS,Sakuma Exports Limited
SALASAR.NS,Salasar Techno Engineering Limited
SALONA.NS,Salona Cotspin Limited
SALSTEEL.NS,S.A.L. Steel Limited
SALZERELEC.NS,Salzer Electronics Limited
SAMBHAAV.NS,Sambhaav Media Limited
SANCO.NS,Sanco Industries Limited
SANDESH.NS,The Sandesh Limited
SANDHAR.NS,Sandhar Technologies Limited
SANGAMIND.NS,Sangam (India) Limited
SANGHIIND.NS,Sanghi Industries Limited
SANGHVIMOV.NS,Sanghvi Movers Limited
SANGINITA.NS,Sanginita Chemicals Limited
SANOFI.NS,Sanofi India Limited
SANSERA.NS,Sansera Engineering Limited
SANWARIA.NS,Sanwaria Consumer Limited
SARDAEN.NS,Sarda Energy & Minerals Limited
SAREGAMA.NS,Saregama India Limited
SARLAPOLY.NS,Sarla Performance Fibers Limited
SASKEN.NS,Sasken Technologies Limited
SASTASUNDR.NS,Sastasundar Ventures Limited
SATHAISPAT.NS,Sathavahana Ispat Limited
SATIA.NS,Satia Industries Limited
SATIN.NS,Satin Creditcare Network Limited
SBCL.NS,Shivalik Bimetal Controls Limited
SBICARD.NS,SBI Cards and Payment Services Limited
SBILIFE.NS,SBI Life Insurance Company Limited
SBIN.NS,State Bank of India
SCAPDVR.NS,Stampede Capital Limited
SCHAEFFLER.NS,Schaeffler India Limited
SCHAND.NS,S Chand and Company Limited
SCHNEIDER.NS,Schneider Electric Infrastructure Limited
SCI.NS,The Shipping Corporation of India Limited
SDBL.NS,Som Distilleries & Breweries Limited
SEAMECLTD.NS,Seamec Limited
SECURKLOUD.NS,SecureKloud Technologies Limited
SELAN.NS,Selan Exploration Technology Limited
SEPOWER.NS,S. E. Power Limited
SEQUENT.NS,Sequent Scientific Limited
SERVOTECH.NS,Servotech Power Systems Limited
SESHAPAPER.NS,Seshasayee Paper and Boards Limited
SETCO.NS,Setco Automotive Limited
SETUINFRA.NS,Setubandhan Infrastructure Limited
SEYAIND.NS,Seya Industries Limited
SEZAL.NS,Sejal Glass Limited
SFL.NS,Sheela Foam Limited
SGIL.NS,Synergy Green Industries Limited
SGL.NS,STL Global Limited
SHAHALLOYS.NS,Shah Alloys Limited
SHAKTIPUMP.NS,Shakti Pumps (India) Limited
SHALBY.NS,Shalby Limited
SHALPAINTS.NS,Shalimar Paints Limited
SHANKARA.NS,Shankara Building Products Limited
SHANTI.NS,Shanti Overseas (India) Limited
SHANTIGEAR.NS,Shanthi Gears Limited
SHARDACROP.NS,Sharda Cropchem Limited
SHARDAMOTR.NS,Sharda Motor Industries Limited
SHAREINDIA.NS,Share India Securities Limited
SHEMAROO.NS,Shemaroo Entertainment Limited
SHIL.NS,Somany Home Innovation Limited
SHILPAMED.NS,Shilpa Medicare Limited
SHIRPUR-G.NS,Shirpur Gold Refinery Limited
SHIVAMAUTO.NS,Shivam Autotech Limited
SHIVAMILLS.NS,Shiva Mills Limited
SHIVATEX.NS,Shiva Texyarn Limited
SHK.NS,S H Kelkar and Company Limited
SHOPERSTOP.NS,Shoppers Stop Limited
SHRADHA.NS,Shradha Infraprojects Limited
SHREDIGCEM.NS,Shree Digvijay Cement Company Ltd.
SHREECEM.NS,Shree Cement Limited
SHREEPUSHK.NS,Shree Pushkar Chemicals & Fertilisers Limited
SHREERAMA.NS,Shree Rama Multi-Tech Limited
SHRENIK.NS,Shrenik Limited
SHREYANIND.NS,Shreyans Industries Limited
SHREYAS.NS,Shreyas Shipping and Logistics Limited
SHRIPISTON.NS,Shriram Pistons & Rings Limited
SHRIRAMCIT.NS,Shriram City Union Finance Limited
SHRIRAMEPC.NS,Shriram EPC Limited
SHYAMCENT.NS,Shyam Century Ferrous Limited
SHYAMMETL.NS,Shyam Metalics and Energy Limited
SHYAMTEL.NS,Shyam Telecom Limited
SICAGEN.NS,Sicagen India Limited
SICAL.NS,Sical Logistics Limited
SIEMENS.NS,Siemens Limited
SIGIND.NS,Signet Industries Limited
SIL.NS,Standard Industries Limited
SILGO.NS,Silgo Retail Limited
SILINV.NS,SIL Investments Limited
SILLYMONKS.NS,Silly Monks Entertainment Limited
SIMBHALS.NS,Simbhaoli Sugars Limited
SIMPLEXINF.NS,Simplex Infrastructures Limited
SINTERCOM.NS,Sintercom India Limited
SINTEX.NS,Sintex Industries Limited
SIRCA.NS,Sirca Paints India Limited
SIS.NS,SIS Limited
SITINET.NS,SITI Networks Limited
SIYSIL.NS,Siyaram Silk Mills Limited
SJVN.NS,SJVN Limited
SKFINDIA.NS,SKF India Limited
SKIL.NS,SKIL Infrastructure Limited
SKIPPER.NS,Skipper Limited
SKMEGGPROD.NS,SKM Egg Products Export (India) Limited
SMARTLINK.NS,Smartlink Holdings Limited
SMCGLOBAL.NS,SMC Global Securities Limited
SMLISUZU.NS,SML Isuzu Limited
SMPL.NS,Splendid Metal Products Limited
SMSLIFE.NS,SMS Lifesciences India Limited
SMSPHARMA.NS,SMS Pharmaceuticals Limited
SNOWMAN.NS,Snowman Logistics Limited
SOBHA.NS,Sobha Limited
SOLARA.NS,Solara Active Pharma Sciences Limited
SOLARINDS.NS,Solar Industries India Limited
SOMANYCERA.NS,Somany Ceramics Limited
SOMATEX.NS,Soma Textiles & Industries Limited
SOMICONVEY.NS,Somi Conveyor Beltings Limited
SONACOMS.NS,Sona BLW Precision Forgings Limited
SONATSOFTW.NS,Sonata Software Limited
SORILINFRA.NS,SORIL Infra Resources Limited
SOTL.NS,Savita Oil Technologies Limited
SOUTHBANK.NS,The South Indian Bank Limited
SOUTHWEST.NS,South West Pinnacle Exploration Limited
SPAL.NS,S.P. Apparels Limited
SPANDANA.NS,Spandana Sphoorty Financial Limited
SPARC.NS,Sun Pharma Advanced Research Company Limited
SPCENET.NS,Spacenet Enterprises India Limited
SPECIALITY.NS,Speciality Restaurants Limited
SPENCERS.NS,Spencer's Retail Limited
SPENTEX.NS,CLC Industries Limited
SPIC.NS,Southern Petrochemical Industries Corporation Limited
SPICEJET.NS,SpiceJet Limited
SPLIL.NS,SPL Industries Limited
SPMLINFRA.NS,SPML Infra Limited
SPTL.NS,Sintex Plastics Technology Limited
SPYL.NS,Shekhawati Poly-Yarn Limited
SREEL.NS,Sreeleathers Limited
SREINFRA.NS,Srei Infrastructure Finance Limited
SRF.NS,SRF Limited
SRHHYPOLTD.NS,Sree Rayalaseema Hi-Strength Hypo Limited
SRIPIPES.NS,Srikalahasthi Pipes Limited
SRPL.NS,Shree Ram Proteins Limited
SRTRANSFIN.NS,Shriram Transport Finance Company Limited
SSWL.NS,Steel Strips Wheels Limited
STAMPEDE.NS,Stampede Capital Limited
STAR.NS,Strides Pharma Science Limited
STARCEMENT.NS,Star Cement Limited
STARPAPER.NS,Star Paper Mills Limited
STCINDIA.NS,The State Trading Corporation of India Ltd.
STEELCITY.NS,Steel City Securities Limited
STEELXIND.NS,Steel Exchange India Limited
STEL.NS,STEL Holdings Limited
STERTOOLS.NS,Sterling Tools Limited
STINDIA.NS,STI India Limited
STLTECH.NS,Sterlite Technologies Limited
STOVEKRAFT.NS,Stove Kraft Limited
STYLAMIND.NS,
SUBCAPCITY.NS,International Constructions Limited
SUBEXLTD.NS,Subex Limited
SUBROS.NS,Subros Limited
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited
SUMEETINDS.NS,Sumeet Industries Limited
SUMICHEM.NS,Sumitomo Chemical India Limited
SUMIT.NS,Sumit Woods Limited
SUMMITSEC.NS,Summit Securities Limited
SUNCLAYLTD.NS,Sundaram-Clayton Limited
SUNDARAM.NS,Sundaram Multi Pap Limited
SUNDARMFIN.NS,Sundaram Finance Limited
SUNDARMHLD.NS,Sundaram Finance Holdings Limited
SUNDRMBRAK.NS,Sundaram Brake Linings Limited
SUNDRMFAST.NS,Sundram Fasteners Limited
SUNFLAG.NS,Sunflag Iron and Steel Company Limited
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited
SUNTECK.NS,Sunteck Realty Limited
SUNTV.NS,Sun TV Network Limited
SUPERHOUSE.NS,Superhouse Limited
SUPERSPIN.NS,Super Spinning Mills Limited
SUPPETRO.NS,Supreme Petrochem Limited
SUPRAJIT.NS,Suprajit Engineering Limited
SUPREMEENG.NS,Supreme Engineering Limited
SUPREMEIND.NS,The Supreme Industries Limited
SUPREMEINF.NS,Supreme Infrastructure India Limited
SUPRIYA.NS,Supriya Lifescience Limited
SURANASOL.NS,Surana Solar Limited
SURANAT&P.NS,Surana Telecom and Power Limited
SURYALAXMI.NS,Suryalakshmi Cotton Mills Limited
SURYAROSNI.NS,Surya Roshni Limited
SURYODAY.NS,Suryoday Small Finance Bank Limited
SUTLEJTEX.NS,Sutlej Textiles and Industries Limited
SUULD.NS,Suumaya Industries Limited
SUVEN.NS,Suven Life Sciences Limited
SUVENPHAR.NS,Suven Pharmaceuticals Limited
SUVIDHAA.NS,Suvidhaa Infoserve Limited
SUZLON.NS,Suzlon Energy Limited
SVPGLOB.NS,
SWANENERGY.NS,Swan Energy Limited
SWARAJENG.NS,Swaraj Engines Limited
SWELECTES.NS,Swelect Energy Systems Limited
SWSOLAR.NS,Sterling and Wilson Renewable Energy Limited
SYMPHONY.NS,Symphony Limited
SYNCOM.NS,Syncom Healthcare Limited
SYNGENE.NS,Syngene International Limited
TAINWALCHM.NS,Tainwala Chemicals and Plastics (India) Limited
TAJGVK.NS,TAJGVK Hotels & Resorts Limited
TAKE.NS,TAKE Solutions Limited
TALBROAUTO.NS,Talbros Automotive Components Limited
TANLA.NS,Tanla Platforms Limited
TANTIACONS.NS,Tantia Constructions Limited
TARAPUR.NS,Tarapur Transformers Limited
TARC.NS,TARC Limited
TARMAT.NS,Tarmat Limited
TASTYBITE.NS,Tasty Bite Eatables Limited
TATACHEM.NS,Tata Chemicals Limited
TATACOFFEE.NS,Tata Coffee Limited
TATACOMM.NS,Tata Communications Limited
TATACONSUM.NS,Tata Consumer Products Limited
TATAELXSI.NS,Tata Elxsi Limited
TATAINVEST.NS,Tata Investment Corporation Limited
TATAMETALI.NS,Tata Metaliks Limited
TATAMOTORS.NS,Tata Motors Limited
TATAMTRDVR.NS,Tata Motors Limited
TATAPOWER.NS,The Tata Power Company Limited
TATASTEEL.NS,Tata Steel Limited
TATASTLBSL.NS,Tata Steel BSL Limited
TATASTLLP.NS,Tata Steel Long Products Limited
TATVA.NS,Tatva Chintan Pharma Chem Limited
TBZ.NS,Tribhovandas Bhimji Zaveri Limited
TCI.NS,Transport Corporation of India Limited
TCIDEVELOP.NS,TCI Developers Limited
TCIEXP.NS,TCI Express Limited
TCIFINANCE.NS,TCI Finance Limited
TCNSBRANDS.NS,TCNS Clothing Co. Limited
TCPLPACK.NS,TCPL Packaging Limited
TCS.NS,Tata Consultancy Services Limited
TDPOWERSYS.NS,TD Power Systems Limited
TEAMLEASE.NS,TeamLease Services Limited
TECHIN.NS,Techindia Nirman Limited
TECHM.NS,Tech Mahindra Limited
TECHNOE.NS,Techno Electric & Engineering Company Limited
TECHNOFAB.NS,Technofab Engineering Limited
TEJASNET.NS,Tejas Networks Limited
TEMBO.NS,Tembo Global Industries Limited
TERASOFT.NS,Tera Software Limited
TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited
TEXMOPIPES.NS,Texmo Pipes and Products Limited
TEXRAIL.NS,Texmaco Rail & Engineering Limited
TFCILTD.NS,Tourism Finance Corporation of India Limited
TFL.NS,Transwarranty Finance Limited
TGBHOTELS.NS,TGB Banquets and Hotels Limited
THANGAMAYL.NS,Thangamayil Jewellery Limited
THEINVEST.NS,The Investment Trust of India Limited
THEMISMED.NS,Themis Medicare Limited
THERMAX.NS,Thermax Limited
THIRUSUGAR.NS,Thiru Arooran Sugars Limited
THOMASCOOK.NS,Thomas Cook (India) Limited
THOMASCOTT.NS,Thomas Scott (India) Limited
THYROCARE.NS,Thyrocare Technologies Limited
TI.NS,Tilaknagar Industries Ltd.
TIDEWATER.NS,Tide Water Oil Co. (India) Limited
TIIL.NS,Technocraft Industries (India) Limited
TIINDIA.NS,Tube Investments of India Limited
TIJARIA.NS,Tijaria Polypipes Limited
TIL.NS,TIL Limited
TIMESGTY.NS,Times Guaranty Limited
TIMETECHNO.NS,Time Technoplast Limited
TIMKEN.NS,Timken India Limited
TINPLATE.NS,The Tinplate Company of India Limited
TIPSINDLTD.NS,Tips Industries Limited
TIRUMALCHM.NS,Thirumalai Chemicals Limited
TIRUPATIFL.NS,Tirupati Forge Limited
TITAN.NS,Titan Company Limited
TMRVL.NS,The Mandhana Retail Ventures Limited
TNPETRO.NS,Tamilnadu Petroproducts Limited
TNPL.NS,Tamil Nadu Newsprint and Papers Limited
TNTELE.NS,Tamilnadu Telecommunications Limited
TOKYOPLAST.NS,Tokyo Plast International Limited
TORNTPHARM.NS,Torrent Pharmaceuticals Limited
TORNTPOWER.NS,Torrent Power Limited
TOTAL.NS,Total Transport Systems Limited
TOUCHWOOD.NS,Touchwood Entertainment Limited
TPLPLASTEH.NS,TPL Plastech Limited
TREEHOUSE.NS,Tree House Education & Accessories Limited
TREJHARA.NS,Trejhara Solutions Limited
TRENT.NS,Trent Limited
TRF.NS,TRF Limited
TRIDENT.NS,Trident Limited
TRIGYN.NS,Trigyn Technologies Limited
TRIL.NS,Transformers and Rectifiers (India) Limited
TRITURBINE.NS,Triveni Turbine Limited
TRIVENI.NS,Triveni Engineering & Industries Limited
TTKHLTCARE.NS,TTK Healthcare Limited
TTKPRESTIG.NS,TTK Prestige Limited
TTL.NS,T.T. Limited
TTML.NS,Tata Teleservices (Maharashtra) Limited
TV18BRDCST.NS,TV18 Broadcast Limited
TVSELECT.NS,TVS Electronics Limited
TVSMOTOR.NS,TVS Motor Company Limited
TVSSRICHAK.NS,TVS Srichakra Limited
TVTODAY.NS,T.V. Today Network Limited
TVVISION.NS,TV Vision Limited
TWL.NS,Titagarh Wagons Limited
UBL.NS,United Breweries Limited
UCALFUEL.NS,Ucal Fuel Systems Limited
UCOBANK.NS,UCO Bank
UFLEX.NS,Uflex Limited
UFO.NS,UFO Moviez India Limited
UGARSUGAR.NS,The Ugar Sugar Works Limited
UGROCAP.NS,UGRO Capital Limited
UJAAS.NS,Ujaas Energy Limited
UJJIVAN.NS,Ujjivan Financial Services Limited
UJJIVANSFB.NS,Ujjivan Small Finance Bank Limited
ULTRACEMCO.NS,UltraTech Cement Limited
UMANGDAIRY.NS,Umang Dairies Limited
UMESLTD.NS,Usha Martin Education & Solutions Limited
UNICHEMLAB.NS,Unichem Laboratories Limited
UNIDT.NS,United Drilling Tools Limited
UNIENTER.NS,Uniphos Enterprises Limited
UNIONBANK.NS,Union Bank of India
UNIPLY.NS,Uniply Industries Limited
UNITECH.NS,Unitech Limited
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited
UNITY.NS,Unity Infraprojects Limited
UNIVASTU.NS,Univastu India Limited
UNIVCABLES.NS,Universal Cables Limited
UNIVPHOTO.NS,Universus Photo Imagings Limited
UPL.NS,UPL Limited
URJA.NS,Urja Global Limited
USHAMART.NS,Usha Martin Limited
UTIAMC.NS,UTI Asset Management Company Limited
UTTAMSTL.NS,Uttam Galva Steels Limited
UTTAMSUGAR.NS,Uttam Sugar Mills Limited
V2RETAIL.NS,V2 Retail Limited
VADILALIND.NS,Vadilal Industries Limited
VAIBHAVGBL.NS,Vaibhav Global Limited
VAISHALI.NS,Vaishali Pharma Limited
VAKRANGEE.NS,Vakrangee Limited
VALIANTORG.NS,Valiant Organics Limited
VARDHACRLC.NS,Vardhman Acrylics Limited
VARDMNPOLY.NS,Vardhman Polytex Limited
VARROC.NS,Varroc Engineering Limited
VASCONEQ.NS,Vascon Engineers Limited
VASWANI.NS,Vaswani Industries Limited
VBL.NS,Varun Beverages Limited
VEDL.NS,Vedanta Limited
VENKEYS.NS,Venky's (India) Limited
VENUSREM.NS,Venus Remedies Limited
VERTOZ.NS,Vertoz Advertising Limited
VESUVIUS.NS,Vesuvius India Limited
VETO.NS,Veto Switchgears and Cables Limited
VGUARD.NS,V-Guard Industries Limited
VHL.NS,Vardhman Holdings Limited
VICEROY.NS,Viceroy Hotels Limited
VIDEOIND.NS,Videocon Industries Limited
VIDHIING.NS,Vidhi Specialty Food Ingredients Limited
VIJAYA.NS,Vijaya Diagnostic Centre Limited
VIJIFIN.NS,Viji Finance Limited
VIKASECO.NS,Vikas EcoTech Limited
VIKASLIFE.NS,Vikas Lifecare Limited
VIKASPROP.NS,Vikas Proppant & Granite Limited
VIKASWSP.NS,Vikas WSP Limited
VIMTALABS.NS,Vimta Labs Limited
VINATIORGA.NS,Vinati Organics Limited
VINDHYATEL.NS,Vindhya Telelinks Limited
VINEETLAB.NS,Vineet Laboratories Limited
VINYLINDIA.NS,Vinyl Chemicals (India) Limited
VIPCLOTHNG.NS,VIP Clothing Limited
VIPIND.NS,VIP Industries Limited
VIPULLTD.NS,Vipul Limited
VISAKAIND.NS,Visaka Industries Limited
VISASTEEL.NS,VISA Steel Limited
